,阳历年份,季节号,序号,插补号,卷号,册号,书名,出版单位,版本年号,版本年代,版本干支,版本季节,页码,地区,地名_题头,机构一,机构二,机构三,缺分,官缺等级,官职一,官职二,加级,加级军功,爵位,身份一,姓,名,字号,原籍省,原籍县,籍贯省,籍贯县,身份二,旗分,出身一,科年一,出身二,科年二,铨选年号,铨选年代,铨选闰月,铨选月,铨选方式
9612,1900.0,1.0,9612.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,俊儀,開封府,祥符縣,,最要,衝繁難,知縣,,,,,,,恩鍾,,,,,,漢軍,鑲藍,,癸未,,,,24.0,,6.0,調
9622,1900.0,1.0,9622.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,小黃,開封府,陳留縣,,簡缺,衝,知縣,,,,,,丁,炳文,,,,江蘇,宜興,,,附貢,,,,,25.0,,12.0,補
9627,1900.0,1.0,9627.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,雍邱,開封府,杞縣,,要缺,衝繁難,知縣,,,,,,蒯,籛,,,,順天,大興,,,監生,,,,,25.0,,2.0,調
9631,1900.0,1.0,9631.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,咸平,開封府,通許縣,,簡缺,,知縣,,,,,,杜,玉,,,,奉天,錦縣,,,監生,,,,,19.0,,12.0,補
9635,1900.0,1.0,9635.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,蔡陂,開封府,尉氏縣,,簡缺,衝,知縣,,,,,,鄒,邦瑞,,,,江蘇,常熟,,,監生,,,,,24.0,,4.0,選
9639,1900.0,1.0,9639.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,朱樓,開封府,洧川縣,,簡缺,,知縣,,,,,,劉,時暘,,,,湖南,湘陰,,,舉人,,,,,24.0,,11.0,補
9643,1900.0,1.0,9643.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,彪岡,開封府,鄢陵縣,,簡缺,難,知縣,,,,,,王,錫侯,叔言,,,山東,長山,,,監生,,,,,21.0,,11.0,選
9647,1900.0,1.0,9647.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,圃田,開封府,中牟縣,,中缺,衝繁,知縣,,,,,,朱,驥,,,,湖北,大治,,,舉人,,,,,10.0,,6.0,選
9653,1900.0,1.0,9653.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,東明,開封府,蘭儀縣,,中缺,衝繁,知縣,,,,,,,空白,,,,山東,長山,,,監生,,,,,21.0,,12.0,補
9664,1900.0,1.0,9664.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,成皋,開封府,榮陽縣,,簡缺,衝,知縣,,,,,,張,駿,,,,江蘇,清河,,,舉人,,,,,20.0,,5.0,補
9668,1900.0,1.0,9668.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,廣武,開封府,榮澤縣,,要缺,衝繁疲,知縣,,,,,,,連魁,,,,,,滿洲,正紅,監生,,,,,19.0,,2.0,補
