,centers
0,"[-11004882.59516007, 2232500.8213149086]"
1,"[-11004533.344461568, 2232445.7878715084]"
2,"[-11004499.477727167, 2232450.021213308]"
3,"[-11004459.260980068, 2232456.371226008]"
4,"[-11004370.360802267, 2232500.8213149086]"
5,"[-11004364.010789568, 2232447.9045424084]"
6,"[-11004215.843826566, 2232632.054910709]"
7,"[-11004085.668566214, 2232611.417369434]"
8,"[-11004282.518959915, 2232768.58018376]"
9,"[-11004431.744258367, 2232814.617775835]"
10,"[-11004479.369353617, 2232868.5928837853]"
11,"[-11003976.13084714, 2233060.680767961]"
12,"[-11005213.430821735, 2232595.224837048]"
13,"[-11005284.86846461, 2232542.837232273]"
14,"[-11005505.531405937, 2232787.312721224]"
15,"[-11005538.86897261, 2232800.0127466237]"
16,"[-11005530.931456735, 2232831.762810124]"
17,"[-11005503.94390276, 2232817.475281549]"
18,"[-11006058.379386634, 2232834.540940681]"
19,"[-11005959.954189783, 2233044.0913597816]"
20,"[-11005956.779183432, 2233080.6039328068]"
21,"[-11005982.179234233, 2233310.791893183]"
22,"[-11006007.579285033, 2233259.9917915827]"
23,"[-11006017.104304083, 2233193.3166582324]"
24,"[-11006044.09185806, 2233217.1292058574]"
25,"[-11006083.779437434, 2233240.9417534824]"
26,"[-11006139.34204856, 2233120.291512182]"
27,"[-11006094.891959658, 2233102.828977257]"
28,"[-11006296.504862884, 2233120.291512182]"
29,"[-11006272.69231526, 2233169.5041106073]"
30,"[-11006252.054773984, 2233204.4291804573]"
31,"[-11006209.19218826, 2233642.580056759]"
32,"[-11006233.004735883, 2233596.5424646838]"
33,"[-11006294.91735971, 2233566.3799043586]"
34,"[-11005822.740998683, 2233964.4198671053]"
35,"[-11005534.873756282, 2233788.7361824047]"
36,"[-11005412.106844082, 2233767.5694734044]"
37,"[-11005414.223514982, 2233710.4193591042]"
38,"[-11005359.190071583, 2233706.1860173047]"
39,"[-11005435.390223982, 2233594.002459604]"
40,"[-11005395.173476882, 2233600.352472304]"
41,"[-11005352.840058882, 2233617.285839504]"
42,"[-11005361.306742482, 2233651.152573904]"
43,"[-11005141.172968881, 2233644.8025612044]"
44,"[-11005488.306996483, 2233968.6532089054]"
45,"[-11005435.390223982, 2234146.453564506]"
46,"[-11005357.073400682, 2234167.6202735063]"
47,"[-11005280.873248281, 2233790.8528533047]"
48,"[-11005299.923286382, 2233714.6527009043]"
49,"[-11005109.422905382, 2233841.652954905]"
50,"[-11005115.77291808, 2233767.5694734044]"
51,"[-11004971.839296881, 2233534.7356744036]"
52,"[-11004912.57251168, 2233818.369575005]"
53,"[-11004893.522473581, 2233894.569727405]"
54,"[-11004853.30572648, 2233856.469651205]"
55,"[-11004806.73896668, 2234154.920248106]"
56,"[-11004830.02234658, 2233619.402510404]"
57,"[-11004838.48903018, 2233509.335623604]"
58,"[-11004855.42239738, 2233488.1689146035]"
59,"[-11004857.53906828, 2233454.3021802036]"
60,"[-11004783.45558678, 2233437.3688130034]"
61,"[-11004709.37210528, 2233469.118876504]"
62,"[-11004696.67207988, 2233435.2521421034]"
63,"[-11004739.00549788, 2233553.785712504]"
64,"[-11004591.632286463, 2234104.384730363]"
65,"[-11004556.707216613, 2234083.747189088]"
66,"[-11004507.494618189, 2234075.809673213]"
67,"[-11004469.394541988, 2234078.984679563]"
68,"[-11004491.619586438, 2234185.347392288]"
69,"[-11004337.631778462, 2234140.897303388]"
70,"[-11004043.943691086, 2233632.8962873863]"
71,"[-11004088.393779987, 2233523.3585683107]"
72,"[-11004074.106251411, 2233505.896033386]"
73,"[-11004147.131397462, 2233386.83329526]"
74,"[-11004183.643970488, 2233409.0583397103]"
75,"[-11004263.019129237, 2233357.6232368434]"
76,"[-11004258.256619712, 2233338.573198743]"
77,"[-11003956.313515829, 2233171.8853653674]"
78,"[-11003688.025479253, 2233262.3730463427]"
79,"[-11003822.963249128, 2233371.9107654183]"
80,"[-11003784.863172928, 2233386.1982939932]"
81,"[-11003802.325707853, 2233443.3484082934]"
82,"[-11003884.875872953, 2233402.0733257434]"
83,"[-11003881.700866604, 2233444.9359114687]"
84,"[-11003872.175847555, 2233470.3359622685]"
85,"[-11003886.463376129, 2233489.3860003687]"
86,"[-11003926.150955504, 2233683.0613877196]"
87,"[-11003943.613490429, 2234052.949627496]"
88,"[-11003922.975949153, 2234062.474646546]"
89,"[-11003756.288115779, 2234033.8995893956]"
90,"[-11003786.450676104, 2234141.849805296]"
91,"[-11003521.655146515, 2233475.098471794]"
92,"[-11003399.417402038, 2233429.0608797185]"
93,"[-11003353.379809964, 2233448.1109178187]"
94,"[-11003288.292179788, 2233443.3484082934]"
95,"[-11003261.304625813, 2233459.2234400436]"
96,"[-11003212.092027389, 2233973.5744687454]"
97,"[-11003108.904321013, 2234054.5371306706]"
98,"[-11003144.226266656, 2233841.282537495]"
99,"[-11003013.654130513, 2233954.524430645]"
100,"[-11002950.154003512, 2233946.5869147703]"
101,"[-11002551.055705318, 2233897.374316345]"
102,"[-11002609.793322794, 2233870.38676237]"
103,"[-11002571.693246594, 2233856.099233795]"
104,"[-11002582.805768818, 2233794.18660997]"
105,"[-11002560.580724368, 2233716.3989543947]"
106,"[-11002400.242903693, 2233743.38650837]"
107,"[-11002433.580470368, 2233686.2363940696]"
108,"[-11002438.342979893, 2233616.3862543693]"
109,"[-11002705.043513294, 2233579.873681344]"
110,"[-11002636.780876769, 2233575.111171819]"
111,"[-11002695.518494243, 2233541.7736051437]"
112,"[-11002716.156035518, 2233508.436038469]"
113,"[-11002665.355933918, 2233511.611044819]"
114,"[-11002628.843360893, 2233416.3608543184]"
115,"[-11002563.755730718, 2233424.298370193]"
116,"[-11002271.655146517, 2233475.098471794]"
