,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,3753470.2565033226,11317,22681,2268,0.0,26238511717.776257,0.00014305194962564873,377,10516,424,0.034203551790058594,1.9958469559070424
1,1.0,515774.95606142585,1662,3388,268,268.0,376703472.3349941,0.001369180254337445,3,1592,67,0.02064221538098086,1.9614921780986763
2,2.0,31551.958562232456,100,201,14,28.0,562660.1971027587,0.05607640050726766,0,99,1,0.004974874371859297,1.99
3,4.0,40817.91310391166,126,252,10,30.0,250806.3221727975,0.16274674717246335,0,126,0,0.0,2.0
4,5.0,36513.733251171114,114,228,15,60.0,627990.9359816661,0.058143726539768265,0,114,0,0.0,2.0
5,6.0,41812.55496801326,159,349,64,320.0,21885735.494653128,0.0019104934800216527,0,128,31,0.08695461617688953,1.8050314465408805
6,7.0,167044.27094724774,560,1158,143,858.0,97186707.14674622,0.0017187975171853566,0,522,38,0.03273699498283602,1.9321428571428572
7,8.0,28047.01455845277,88,178,19,133.0,931454.9693876384,0.03011097206007884,0,86,2,0.011233019853709508,1.9772727272727273
8,9.0,16168.597041622179,59,127,16,144.0,513430.70450951887,0.03149129356622344,0,50,9,0.06997356554190638,1.847457627118644
9,11.0,5114.333423619448,15,30,7,70.0,114593.4035659863,0.04463026024595266,0,15,0,0.0,2.0
10,12.0,19584.659408931104,61,122,4,48.0,19736.7716688381,0.9922929513266264,0,61,0,0.0,2.0
11,16.0,6733.586811065614,23,48,4,52.0,17965.85287418474,0.3747991736446396,0,21,2,0.04150197628458498,1.9130434782608696
12,17.0,6480.023814958597,21,43,4,56.0,22087.895500474056,0.293374432834469,0,20,1,0.023228803716608595,1.9523809523809523
13,28.0,22298.437735498625,70,141,8,120.0,159118.40243216848,0.1401373907396057,0,69,1,0.007091469681397739,1.9857142857142858
14,33.0,2046.6668600812075,10,24,5,80.0,44422.657205401076,0.04607258972865689,0,6,4,0.15,1.6
15,37.0,5896.362136531763,20,42,5,85.0,44118.25246598704,0.13364904108741757,0,18,2,0.04736842105263158,1.9
16,39.0,35209.00540498687,114,235,18,324.0,1087582.4505556019,0.03237364246453224,0,107,7,0.029729300627133443,1.9385964912280702
17,40.0,8560.849374651007,28,58,4,76.0,4511.92603833963,1.89738247079098,0,26,2,0.0343915343915344,1.9285714285714286
18,52.0,12214.47384573014,39,79,5,100.0,3033.8833975417892,4.0260195416959474,0,38,1,0.012654012654012654,1.9743589743589745
19,64.0,9343.782317275141,31,64,7,147.0,151335.1876527447,0.0617422984184979,0,29,2,0.031182795698924733,1.935483870967742
20,65.0,13769.707149922571,46,96,9,198.0,248015.14115414032,0.05551962305948393,0,42,4,0.04150197628458498,1.9130434782608696
21,69.0,17091.81194626321,54,109,10,230.0,231266.23895910682,0.07390534832576853,0,53,1,0.009172724125995154,1.9814814814814814
22,70.0,9314.188960673444,35,76,9,216.0,126193.19871381644,0.07380896162079507,0,29,6,0.07767857142857143,1.8285714285714285
23,72.0,3261.525967978682,14,31,6,48.0,144524.5519911855,0.02256727955937619,0,11,3,0.09428571428571428,1.7857142857142858
24,74.0,1429.5959793946422,9,23,7,175.0,68429.72377914163,0.020891447465266604,0,4,5,0.17094017094017094,1.4444444444444444
25,76.0,3025.543051872502,15,35,10,260.0,210357.05033818464,0.014382893499449762,0,10,5,0.13333333333333333,1.6666666666666667
26,77.0,11179.863183982374,35,71,5,135.0,39155.93202299039,0.2855215699480253,0,34,1,0.014078674948240165,1.9714285714285715
27,78.0,2204.425973023659,14,35,8,224.0,109295.62857358504,0.020169388307598176,0,7,7,0.16666666666666666,1.5
28,80.0,10940.22981354899,47,108,28,812.0,879107.6552069433,0.012444698608583544,0,33,14,0.12287234042553193,1.702127659574468
29,96.0,40.0,4,12,4,120.0,3968.2267976103385,0.01008006901825469,0,0,4,0.0,1.0
30,97.0,70.0,7,21,7,217.0,51302.628713386686,0.0013644524999112668,0,0,7,0.0,1.0
