,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,4733576.716678516,14478,29138,2831,0.0,46039556759.32423,0.00010281542764244448,386,13524,568,0.03202283515360278,1.9874292029285814
1,1.0,31571.958562232456,102,207,16,16.0,853504.1889950219,0.036990982550897125,0,99,3,0.014486391571553995,1.9705882352941178
2,3.0,57811.83860732797,231,516,103,206.0,54938064.0319322,0.001052309352832772,0,177,54,0.10141329258976317,1.7662337662337662
3,4.0,22082.754804437456,82,177,22,88.0,1492055.708279386,0.01480022138711089,0,69,13,0.07244387013406559,1.8414634146341464
4,5.0,5399.839412766775,23,51,12,60.0,448638.8989007087,0.012036048202681261,0,18,5,0.09544008483563096,1.7826086956521738
5,6.0,5114.333423619448,15,30,7,42.0,114593.4035659863,0.04463026024595266,0,15,0,0.0,2.0
6,8.0,8540.65003645234,30,63,6,54.0,90295.8888943872,0.09458514823904932,0,27,3,0.04736842105263158,1.9
7,15.0,22298.437735498625,70,141,8,80.0,159118.40243216848,0.1401373907396057,0,69,1,0.007091469681397739,1.9857142857142858
8,16.0,14957.28900302605,47,95,4,44.0,54037.48108674223,0.27679471178562637,0,46,1,0.01052390757263784,1.9787234042553192
9,19.0,4823.683161621174,19,42,6,72.0,95670.9724992368,0.05041950589202649,0,15,4,0.09287925696594426,1.7894736842105263
10,27.0,12214.47384573014,39,79,5,65.0,3033.8833975417892,4.0260195416959474,0,38,1,0.012654012654012654,1.9743589743589745
11,28.0,13411.622179939144,42,85,5,70.0,67005.87179834889,0.20015592395097564,0,41,1,0.011761331038439472,1.9761904761904763
12,31.0,13779.707149922571,47,99,10,150.0,437493.57963361015,0.031496935706948496,0,42,5,0.050203203442505374,1.8936170212765957
13,36.0,3261.525967978682,14,31,6,18.0,144524.5519911855,0.02256727955937619,0,11,3,0.09428571428571428,1.7857142857142858
14,38.0,2224.9947446950737,11,27,8,56.0,76327.18396581135,0.029150751135947825,0,6,5,0.16042780748663102,1.5454545454545454
15,40.0,11219.863183982374,39,83,9,144.0,224261.95784369973,0.05003016691668278,0,34,5,0.059711977520196705,1.8717948717948718
16,47.0,40.0,4,12,4,72.0,3968.2267976103385,0.01008006901825469,0,0,4,0.0,1.0
17,48.0,756.4858279948055,6,16,5,85.0,33023.91754641357,0.022907210415953835,0,2,4,0.16666666666666666,1.3333333333333333
