,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,299940.4008494235,934,1873,116,232,99381315.82732883,0.003018076369310286,0,929,5,0.0026694757942624377,1.9946466809421841
1,1.0,258840.85897986955,807,1619,100,1200,88931461.1266583,0.0029105656839621945,2,798,7,0.0055527188683851605,1.9938042131350682
2,2.0,242801.7816783325,648,1254,103,1957,103950907.74289401,0.0023357350787052674,56,578,14,0.04847386000848881,2.064814814814815
3,3.0,383259.1493253473,1197,2402,124,1364,110119156.72325198,0.0034804039617606424,0,1189,8,0.003330483235190519,1.9933166248955723
4,4.0,38095.75951527765,156,350,67,1206,60609889.17497809,0.0006285403262378003,0,118,38,0.10490361220288227,1.7564102564102564
5,5.0,248933.11470612258,714,1423,114,570,87108367.69573711,0.002857740551121644,29,661,24,0.035600423002417995,2.007002801120448
6,6.0,225107.319999907,735,1513,160,640,136333063.99547625,0.0016511571984282288,0,692,43,0.028370254899437,1.9414965986394557
7,7.0,232029.96094065704,785,1631,201,3417,306643583.87180525,0.0007566763928693809,0,724,61,0.037282884434370424,1.9222929936305733
8,8.0,389352.4899795261,1169,2334,281,2529,271356831.35928655,0.0014348357770437292,25,1123,21,0.019251968187572643,2.003421727972626
9,9.0,63787.96845535406,209,428,31,434,15736751.578797298,0.004053439373173935,0,199,10,0.023337086030584483,1.9521531100478469
10,10.0,244590.80002712226,776,1573,121,1815,158098686.53804654,0.0015470767365816246,4,747,25,0.018402331203242944,1.972938144329897
11,11.0,148536.30774974497,526,1120,136,1360,159030883.67227122,0.0009340091956971494,0,458,68,0.06017187548301338,1.870722433460076
12,12.0,60248.12082961701,240,535,105,1680,68820606.81657033,0.0008754372217350273,0,185,55,0.09975490196078432,1.7708333333333333
13,13.0,413441.00956360373,1117,2135,221,0,158163009.86495137,0.0026140183467463305,105,1006,6,0.0433337260227609,2.0886302596239927
14,14.0,270983.65465370874,885,1822,170,2210,201929529.65523458,0.0013419714051549276,2,829,54,0.030675532579599193,1.9412429378531073
15,15.0,406249.3988291969,1103,2119,251,251,202358752.77838558,0.0020075701853831023,110,970,23,0.05300929669272124,2.0788757932910245
16,16.0,343651.05830231454,1095,2222,140,980,91096520.52578507,0.0037723840199258033,0,1063,32,0.014395199343210565,1.9707762557077626
17,17.0,344254.35524746595,974,1922,187,1122,180460272.46070585,0.0019076462123951703,46,908,20,0.03212605764049689,2.026694045174538
18,18.0,325992.9821945795,1044,2138,278,834,187084291.32202592,0.0017424925411479457,8,978,58,0.03077354028252475,1.9521072796934866
19,19.0,181721.35499611692,701,1543,257,2056,304884839.6984916,0.0005960327682275899,1,558,142,0.09058996946697875,1.7988587731811698
