,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,176551.23126268448,526,1044,57,228.0,10206724.815244956,0.0172975400491825,8,518,0,0.0074323839586770924,2.0152091254752853
1,1.0,206037.20582651807,644,1291,64,960.0,22774290.528339304,0.009046920937894184,0,641,3,0.002323754742973149,1.9953416149068324
2,2.0,217945.70414388494,677,1355,64,192.0,19873032.6526557,0.010966907162745497,0,676,1,0.0007380065743721758,1.9985228951255538
3,3.0,122553.23344341615,380,760,41,1394.0,6095127.880379312,0.02010675343464482,0,380,0,0.0,2.0
4,4.0,147190.8502640318,462,931,46,644.0,9775745.914699795,0.015056738539276152,0,455,7,0.007517927365255609,1.9848484848484849
5,5.0,179355.2603202892,533,1057,98,196.0,26118960.762741495,0.006866860513690045,22,498,13,0.031418473755399454,2.016885553470919
6,6.0,160618.92465594356,505,1019,61,549.0,16440361.158553012,0.009769792956913383,0,496,9,0.00883077318720883,1.9821782178217822
7,7.0,131334.4428108105,375,737,70,2030.0,13240610.60699592,0.009919062398936309,21,346,8,0.03624290083005679,2.034666666666667
8,8.0,282469.5753647001,907,1853,249,1245.0,144945933.26814663,0.0019487926911487604,5,858,44,0.02638756463810426,1.9570011025358325
9,9.0,205026.07271230393,643,1295,134,1474.0,51116840.88147975,0.004010930041386563,1,632,10,0.008490934843157624,1.9860031104199067
10,10.0,145466.93351009057,451,908,75,900.0,22255900.086431656,0.006536106513111762,2,441,8,0.010992437440608172,1.9866962305986697
11,11.0,148111.6693718542,422,834,77,616.0,16278854.421583196,0.009098408618697484,13,406,3,0.01824145088071745,2.023696682464455
12,12.0,99795.2465127317,283,571,59,1829.0,9316368.178253794,0.010711818661876536,14,250,19,0.05531515529436959,1.982332155477032
13,13.0,211581.85155402767,678,1384,111,1776.0,62562910.560697064,0.0033819055037210255,2,646,30,0.023092369477911646,1.9587020648967552
14,14.0,121712.47308591324,390,790,55,1155.0,16344500.236726163,0.007446692852218557,1,378,11,0.015178155178155177,1.9743589743589745
15,15.0,130624.26326445938,398,797,41,287.0,10530492.514921233,0.012404383088385533,3,391,4,0.008726020037293386,1.9974874371859297
16,16.0,101518.00666356193,233,441,44,1408.0,7584004.343705465,0.013385805448254965,29,200,4,0.05971871367009606,2.107296137339056
17,17.0,136582.57828825436,447,918,81,3483.0,33684101.75983171,0.004054808385929087,0,423,24,0.02610506827123351,1.9463087248322148
18,18.0,149851.78518001823,442,893,88,1144.0,35974268.74777883,0.0041655269278898285,14,405,23,0.040411118293471236,1.9796380090497738
19,19.0,98581.12534016209,319,651,58,1450.0,19401356.083108142,0.00508114612802721,0,306,13,0.019952351097178685,1.9592476489028212
20,20.0,173588.48985687568,574,1189,127,762.0,69733386.38450265,0.0024893167943935315,0,533,41,0.0343915343915344,1.9285714285714286
21,21.0,149217.09485028975,472,957,72,3024.0,27404809.993074056,0.005444923533058648,0,459,13,0.013578892752462268,1.972457627118644
