,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,Area_mean,building_density,high,mid,low,status_Gini,avg_status
0,0.0,49228,170,361,42,2058,14269184.635573056,0.13979119965203926,289.5764705882353,0.003449951854801477,0,149,21,0.05769869076157109,1.8764705882352941
1,1.0,133597,417,850,90,1350,24341304.837205663,0.08892497819375136,320.3764988009592,0.005488489663701065,2,397,18,0.023488299824687926,1.961630695443645
2,2.0,106324,350,724,56,2072,13221994.789332272,0.07920396953785465,303.78285714285715,0.008041449243784606,0,326,24,0.03306846999154691,1.9314285714285715
3,3.0,82144,261,532,33,1485,5936147.089765197,0.05148098955651378,314.72796934865903,0.013837932038717254,0,251,10,0.018782926245210732,1.9616858237547892
4,4.0,129654,404,816,49,2107,16668824.580483781,0.03425886979923871,320.9257425742574,0.007778232914623248,0,396,8,0.009801980198019802,1.9801980198019802
5,5.0,176780,545,1091,51,102,10498308.430640675,0.017849885463817043,324.3669724770642,0.01683890325455143,0,544,1,0.0009165887397747281,1.998165137614679
6,6.0,165481,480,934,100,100,30126896.787948243,0.11596769417637066,344.75208333333336,0.005492799380060872,34,438,8,0.04001859364435429,2.0541666666666667
7,7.0,92175,287,579,30,570,6901950.412885453,0.03354243036792799,321.1672473867596,0.013354920636334304,0,282,5,0.008634256566015321,1.9825783972125435
8,8.0,66692,239,511,65,1105,31565960.7748814,0.14996598363751482,279.0460251046025,0.002112782198382193,0,206,33,0.06391801043674487,1.8619246861924685
9,9.0,23331,92,205,31,930,7536491.936860403,0.22679938801333546,253.59782608695656,0.0030957374061385073,0,71,21,0.09942651373699653,1.7717391304347827
10,10.0,143080,315,569,97,776,29565321.250952613,0.3109133751347897,454.22222222222223,0.004839453587719426,64,248,3,0.07810166999747317,2.193650793650794
11,11.0,101487,329,675,60,2760,24796205.687244978,0.0690731257807347,308.4711246200608,0.00409284393265879,0,312,17,0.025150671680362658,1.9483282674772036
12,12.0,117491,344,685,90,1170,31065597.859719556,0.11348471916602024,341.5436046511628,0.003782029257268595,7,333,4,0.01564550869989567,2.008720930232558
13,13.0,85034,273,557,61,1708,19803845.51102274,0.072612196233336,311.4798534798535,0.004293812530130597,0,262,11,0.019732292629488894,1.9597069597069596
14,14.0,59921,193,393,26,572,6821893.710182981,0.04979674014654701,310.4715025906736,0.008783631429284284,0,186,7,0.01779977305972904,1.9637305699481866
15,15.0,147538,435,863,55,165,10717564.69946549,0.06781805521211523,339.167816091954,0.013766000405610618,9,424,2,0.012319951768699459,2.0160919540229885
16,16.0,29386,121,276,64,1664,22084860.47965416,0.2890452697720228,242.85950413223142,0.001330594776773531,0,87,34,0.11753019707565161,1.71900826446281
