,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,building_density,high,mid,low,status_Gini,avg_status
0,0.0,4770356,14478,29138,2831,0.0,46039556759.32423,0.11259927921288018,0.00010361429031424976,386,13524,568,0.03202283515360278,1.9874292029285814
1,1.0,31805,102,207,16,16.0,853504.1889950219,0.04937409643939323,0.037264023317155046,0,99,3,0.014486391571553995,1.9705882352941178
2,3.0,58965,231,516,103,206.0,54938064.0319322,0.2432139103723942,0.0010732995608605208,0,177,54,0.10141329258976317,1.7662337662337662
3,4.0,22410,82,177,22,88.0,1492055.708279386,0.16557503727647718,0.01501954643894821,0,69,13,0.07244387013406559,1.8414634146341464
4,5.0,5507,23,51,12,60.0,448638.8989007087,0.21111470776324204,0.012274905304675312,0,18,5,0.09544008483563096,1.7826086956521738
5,6.0,5145,15,30,7,42.0,114593.4035659863,0.08882410106899905,0.04489787230237346,0,15,0,0.0,2.0
6,8.0,8637,30,63,6,54.0,90295.8888943872,0.10941299062174367,0.09565219530760803,0,27,3,0.04736842105263158,1.9
7,15.0,22447,70,141,8,80.0,159118.40243216848,0.030508690311782046,0.14107104933742068,0,69,1,0.007091469681397739,1.9857142857142858
8,16.0,15062,47,95,4,44.0,54037.48108674223,0.0241512387097868,0.2787324593428425,0,46,1,0.01052390757263784,1.9787234042553192
9,19.0,4913,19,42,6,72.0,95670.9724992368,0.20524494627572393,0.05135308936092599,0,15,4,0.09287925696594426,1.7894736842105263
10,27.0,12302,39,79,5,65.0,3033.8833975417892,0.04017691515659327,4.054869086256816,0,38,1,0.012654012654012654,1.9743589743589745
11,28.0,13508,42,85,5,70.0,67005.87179834889,0.03025367683348141,0.2015942728221149,0,41,1,0.011761331038439472,1.9761904761904763
12,31.0,13936,47,99,10,150.0,437493.57963361015,0.11556019004812274,0.03185418174975516,0,42,5,0.050203203442505374,1.8936170212765957
13,36.0,3326,14,31,6,18.0,144524.5519911855,0.24280560089339404,0.023013390833433282,0,11,3,0.09428571428571428,1.7857142857142858
14,38.0,2313,11,27,8,56.0,76327.18396581135,0.4522265456117596,0.030303751295685747,0,6,5,0.16042780748663102,1.5454545454545454
15,40.0,11362,39,83,9,144.0,224261.95784369973,0.13685293759224407,0.050663965075694165,0,34,5,0.059711977520196705,1.8717948717948718
16,47.0,100,4,12,4,72.0,3968.2267976103385,0.0,0.025200172545636727,0,0,4,0.0,1.0
17,48.0,821,6,16,5,85.0,33023.91754641357,0.5448639870077141,0.024860769436155568,0,2,4,0.16666666666666666,1.3333333333333333
