,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,building_density,high,mid,low,status_Gini,avg_status
0,0.0,72943,233,474,36,72.0,3649551.5035484973,0.05060521417187469,0.019986839459335416,0,225,8,0.01686751504020091,1.9656652360515021
1,1.0,58986,182,364,21,735.0,1227842.3792802307,0.020010987893197225,0.04804036820636374,0,182,0,0.0,2.0
2,2.0,32423,102,206,15,1245.0,3014116.376495247,0.0369288201972335,0.010757049811626984,0,100,2,0.009706853038245,1.9803921568627452
3,3.0,34033,133,296,56,3808.0,6826591.479269461,0.240051617304655,0.0049853576420017445,0,103,30,0.09844526570663949,1.7744360902255638
4,4.0,80001,240,475,49,2646.0,5363271.135784983,0.09727711736936623,0.014916456389126939,11,223,6,0.03370274914089347,2.0208333333333335
5,5.0,29208,93,188,14,1232.0,1631916.7284078475,0.04603835154899381,0.017897972054307147,0,91,2,0.010635811126694717,1.978494623655914
6,6.0,53762,72,81,62,62.0,15119443.090531515,0.40948015740155164,0.003555818800870266,63,9,0,0.03804347826086957,2.875
7,7.0,46259,150,309,36,1584.0,4603931.957660849,0.0879637115660376,0.010047715827560389,0,141,9,0.02907216494845361,1.94
8,8.0,64181,201,406,38,646.0,3160634.4291013763,0.04813640775415858,0.02030636615517973,0,197,4,0.009850246256156403,1.9800995024875623
9,9.0,75122,235,473,20,520.0,1808096.3150335106,0.025254068983956313,0.04154756545621726,0,232,3,0.006341974577429496,1.9872340425531916
10,10.0,60509,187,375,28,2268.0,3447733.215085967,0.030384749411476605,0.01755037186033875,0,186,1,0.0026666284354346175,1.9946524064171123
11,11.0,72434,227,460,63,315.0,8650199.144032855,0.1198110897613127,0.008373680049894224,3,215,9,0.02590072372561359,1.973568281938326
12,12.0,19515,63,131,15,510.0,2424641.187366397,0.09796371533496821,0.008048613585252527,0,58,5,0.03804276531549259,1.9206349206349207
13,13.0,34580,121,258,28,644.0,5063385.7455334095,0.13763557017145536,0.006829422393998765,0,105,16,0.06143494478168654,1.8677685950413223
14,14.0,47209,149,301,19,1767.0,1112142.2554028274,0.03810301783828332,0.042448706332896685,0,146,3,0.009964736662495735,1.9798657718120805
15,15.0,23331,92,205,31,1488.0,7536491.936860403,0.22679938801333546,0.0030957374061385073,0,71,21,0.09942651373699653,1.7717391304347827
16,16.0,52581,162,329,37,1184.0,4462882.982445549,0.10447338040004593,0.011781845996595437,2,153,7,0.027187584658849025,1.9691358024691359
17,17.0,61692,189,379,17,1326.0,1959874.8175622122,0.015375922786932316,0.03147752062896319,0,188,1,0.0026384853971060866,1.9947089947089947
18,18.0,85127,271,549,35,2275.0,2312324.4701189147,0.04317720729570236,0.0368144700711584,0,264,7,0.012746146153050317,1.9741697416974169
19,19.0,88696,258,510,30,120.0,2301775.204879683,0.07313522961104665,0.038533736835798554,6,252,0,0.011226944667201283,2.0232558139534884
20,20.0,53189,159,322,30,600.0,2153751.7617898635,0.10688915083993226,0.02469597515537147,2,151,6,0.02467652125145215,1.9748427672955975
21,21.0,38000,154,348,51,3621.0,9830715.905144664,0.24147402597402598,0.0038654356779971267,0,114,40,0.11048652839697617,1.7402597402597402
22,22.0,6687,28,63,12,564.0,1986780.7008367719,0.26533358969428955,0.003365746404313087,0,21,7,0.10714285714285714,1.75
23,23.0,68319,155,289,40,360.0,4315255.735242427,0.2755891361634156,0.01583197015232329,22,132,1,0.06003313517201053,2.1354838709677417
24,24.0,8793,39,91,22,2156.0,3056102.427863399,0.3349400892901405,0.0028771941410836205,0,26,13,0.13333333333333333,1.6666666666666667
25,25.0,68300,211,424,29,1769.0,1662691.336154316,0.03163267713530355,0.04107797912628385,0,209,2,0.004716768223877229,1.990521327014218
