,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,building_density,high,mid,low,status_Gini,avg_status
0,0.0,861130,2607,5197,287,0,421396409.6619365,0.04575007600004054,0.0020435152750609285,27,2570,10,0.007012427828933132,2.0065209052550825
1,1.0,751687,2144,4210,443,443,757397085.4409248,0.14244467590998144,0.000992460909144375,137,1948,59,0.04251539200470392,2.0363805970149254
2,2.0,443871,1419,2910,355,710,414045443.4022664,0.10695836878585445,0.0010720345002535304,7,1333,79,0.029489262804099105,1.9492600422832982
3,3.0,376702,1162,2321,280,1680,228648347.4961607,0.07394077922283943,0.0016475168271501517,22,1121,19,0.017306749251287182,2.0025817555938037
4,4.0,344468,927,1811,195,780,204715204.6973508,0.17470162610489315,0.0016826693479326978,63,844,20,0.04126881768124201,2.04638619201726
5,5.0,334598,930,1827,167,501,186005826.16135696,0.16623749494418175,0.001798857632070846,59,845,26,0.04254099710875949,2.035483870967742
6,6.0,348832,1117,2285,188,1692,202529977.5573173,0.07151801870369581,0.0017223721851313508,2,1062,53,0.0240410660877104,1.9543419874664278
7,7.0,272997,719,1397,121,847,137987496.3653565,0.19473894884486828,0.001978418387106408,62,636,21,0.05208947518386762,2.0570236439499303
8,8.0,235308,740,1499,103,1236,89183427.9194333,0.061881167592193136,0.002638472253080169,3,715,22,0.0166555672715837,1.9743243243243243
9,9.0,282965,864,1728,127,1397,139815100.1927177,0.04786742781956414,0.0020238514982285033,6,852,6,0.006896219135802469,2.0
10,10.0,247194,824,1711,210,2940,391781657.8249498,0.1051056328070928,0.000630948374082504,0,761,63,0.03670867661021102,1.9235436893203883
11,11.0,133632,521,1158,223,1115,181144225.33763283,0.23917043385197198,0.0007377105163077913,0,405,116,0.09737877399750439,1.7773512476007678
12,12.0,213677,710,1476,133,2261,152051251.58716443,0.09235338555949954,0.001405295897071312,1,652,57,0.03916608153318739,1.9211267605633804
13,13.0,115054,402,856,100,800,87566253.49199013,0.14161327836801182,0.001313907988658259,0,350,52,0.06020429766063301,1.8706467661691542
14,14.0,66771,217,445,33,330,13489729.967270646,0.06421211173177571,0.004949765500273365,0,206,11,0.02468651610724363,1.9493087557603688
15,15.0,61431,240,535,105,1365,68820606.81657033,0.23929489996907097,0.0008926250848635195,0,185,55,0.09975490196078432,1.7708333333333333
16,16.0,23456,97,220,36,576,19781079.338310167,0.26017962124302046,0.001185779582541413,0,71,26,0.1132793323514973,1.731958762886598
17,17.0,18838,76,170,40,600,18561853.454236403,0.2709493967959499,0.0010148770997704742,0,58,18,0.10251374705420267,1.763157894736842
18,18.0,21954,69,139,10,180,1396006.1133302748,0.03622990363249641,0.015726292163310892,0,68,1,0.0071934835501957055,1.9855072463768115
