,cluster,high,mid,low,status_Gini,avg_status
0,-1.0,7.0,26.0,60.0,0.2087476756407147,1.4301075268817205
1,0.0,376.0,10390.0,416.0,0.03421790549489028,1.9964228223931317
2,1.0,3.0,1592.0,67.0,0.02064221538098086,1.9614921780986763
3,2.0,0.0,99.0,1.0,0.004974874371859297,1.99
4,3.0,0.0,9.0,0.0,0.0,2.0
5,4.0,0.0,126.0,0.0,0.0,2.0
6,5.0,0.0,114.0,0.0,0.0,2.0
7,6.0,0.0,128.0,31.0,0.08695461617688953,1.8050314465408805
8,7.0,0.0,522.0,38.0,0.03273699498283602,1.9321428571428572
9,8.0,0.0,86.0,2.0,0.011233019853709508,1.9772727272727273
10,9.0,0.0,50.0,9.0,0.06997356554190637,1.847457627118644
11,10.0,0.0,8.0,0.0,0.0,2.0
12,11.0,0.0,15.0,0.0,0.0,2.0
13,12.0,0.0,61.0,0.0,0.0,2.0
14,13.0,0.0,10.0,0.0,0.0,2.0
15,14.0,0.0,22.0,0.0,0.0,2.0
16,15.0,0.0,5.0,0.0,0.0,2.0
17,16.0,0.0,21.0,2.0,0.041501976284584984,1.9130434782608696
18,17.0,0.0,20.0,1.0,0.023228803716608598,1.9523809523809523
19,18.0,0.0,8.0,0.0,0.0,2.0
20,19.0,0.0,8.0,0.0,0.0,2.0
21,20.0,0.0,4.0,0.0,0.0,2.0
22,21.0,0.0,8.0,0.0,0.0,2.0
23,22.0,0.0,8.0,0.0,0.0,2.0
24,23.0,0.0,5.0,0.0,0.0,2.0
25,24.0,0.0,3.0,1.0,0.10714285714285714,1.75
26,25.0,0.0,5.0,0.0,0.0,2.0
27,26.0,0.0,14.0,0.0,0.0,2.0
28,27.0,0.0,6.0,1.0,0.06593406593406594,1.8571428571428572
29,28.0,0.0,69.0,1.0,0.007091469681397739,1.9857142857142858
30,29.0,0.0,36.0,0.0,0.0,2.0
31,30.0,0.0,10.0,0.0,0.0,2.0
32,31.0,0.0,5.0,0.0,0.0,2.0
33,32.0,0.0,30.0,0.0,0.0,2.0
34,33.0,0.0,6.0,4.0,0.15,1.6
35,34.0,0.0,9.0,0.0,0.0,2.0
36,35.0,0.0,12.0,0.0,0.0,2.0
37,36.0,0.0,3.0,1.0,0.10714285714285714,1.75
38,37.0,0.0,18.0,2.0,0.04736842105263158,1.9
39,38.0,0.0,18.0,0.0,0.0,2.0
40,39.0,0.0,107.0,7.0,0.029729300627133443,1.9385964912280702
41,40.0,0.0,26.0,2.0,0.0343915343915344,1.9285714285714286
42,41.0,0.0,31.0,0.0,0.0,2.0
43,42.0,0.0,10.0,0.0,0.0,2.0
44,43.0,0.0,8.0,0.0,0.0,2.0
45,44.0,0.0,36.0,0.0,0.0,2.0
46,45.0,0.0,33.0,0.0,0.0,2.0
47,46.0,0.0,7.0,0.0,0.0,2.0
48,47.0,0.0,13.0,0.0,0.0,2.0
49,48.0,0.0,11.0,0.0,0.0,2.0
50,49.0,0.0,4.0,1.0,0.08888888888888889,1.8
51,50.0,0.0,8.0,0.0,0.0,2.0
52,51.0,0.0,21.0,0.0,0.0,2.0
53,52.0,0.0,38.0,1.0,0.012654012654012654,1.9743589743589745
54,53.0,0.0,13.0,0.0,0.0,2.0
55,54.0,0.0,11.0,0.0,0.0,2.0
56,55.0,0.0,16.0,1.0,0.028520499108734405,1.9411764705882353
57,56.0,0.0,15.0,0.0,0.0,2.0
58,57.0,0.0,8.0,0.0,0.0,2.0
59,58.0,0.0,12.0,0.0,0.0,2.0
60,59.0,0.0,13.0,0.0,0.0,2.0
61,60.0,0.0,6.0,0.0,0.0,2.0
62,61.0,0.0,35.0,0.0,0.0,2.0
63,62.0,0.0,12.0,0.0,0.0,2.0
64,63.0,0.0,19.0,0.0,0.0,2.0
65,64.0,0.0,29.0,2.0,0.03118279569892473,1.935483870967742
66,65.0,0.0,42.0,4.0,0.041501976284584984,1.9130434782608696
67,66.0,0.0,6.0,0.0,0.0,2.0
68,67.0,0.0,9.0,0.0,0.0,2.0
69,68.0,0.0,9.0,0.0,0.0,2.0
70,69.0,0.0,53.0,1.0,0.009172724125995155,1.9814814814814814
71,70.0,0.0,29.0,6.0,0.07767857142857143,1.8285714285714285
72,71.0,0.0,6.0,0.0,0.0,2.0
73,72.0,0.0,11.0,3.0,0.09428571428571428,1.7857142857142858
74,73.0,0.0,4.0,0.0,0.0,2.0
75,74.0,0.0,4.0,5.0,0.17094017094017094,1.4444444444444444
76,75.0,0.0,4.0,0.0,0.0,2.0
77,76.0,0.0,10.0,5.0,0.13333333333333333,1.6666666666666667
78,77.0,0.0,34.0,1.0,0.014078674948240163,1.9714285714285715
79,78.0,0.0,7.0,7.0,0.16666666666666666,1.5
80,79.0,0.0,9.0,0.0,0.0,2.0
81,80.0,0.0,33.0,14.0,0.12287234042553193,1.702127659574468
82,81.0,0.0,7.0,0.0,0.0,2.0
83,82.0,0.0,5.0,0.0,0.0,2.0
84,83.0,0.0,8.0,0.0,0.0,2.0
85,84.0,0.0,5.0,0.0,0.0,2.0
86,85.0,0.0,11.0,0.0,0.0,2.0
87,86.0,0.0,28.0,0.0,0.0,2.0
88,87.0,0.0,19.0,0.0,0.0,2.0
89,88.0,0.0,20.0,0.0,0.0,2.0
90,89.0,0.0,25.0,0.0,0.0,2.0
91,90.0,0.0,6.0,0.0,0.0,2.0
92,91.0,0.0,4.0,0.0,0.0,2.0
93,92.0,0.0,5.0,0.0,0.0,2.0
94,93.0,0.0,16.0,0.0,0.0,2.0
95,94.0,0.0,10.0,0.0,0.0,2.0
96,95.0,0.0,15.0,0.0,0.0,2.0
97,96.0,0.0,0.0,4.0,0.0,1.0
98,97.0,0.0,0.0,7.0,0.0,1.0
99,98.0,0.0,0.0,4.0,0.0,1.0
100,99.0,0.0,2.0,2.0,0.16666666666666666,1.5
