,cluster,high,mid,low,status_Gini,avg_status
0,-1.0,6.0,11.0,22.0,0.23655913978494625,1.5897435897435896
1,0.0,380.0,13521.0,568.0,0.03185121534194545,1.987006703987836
2,1.0,0.0,99.0,3.0,0.014486391571553996,1.9705882352941178
3,2.0,0.0,9.0,0.0,0.0,2.0
4,3.0,0.0,177.0,54.0,0.10141329258976316,1.7662337662337662
5,4.0,0.0,69.0,13.0,0.07244387013406559,1.8414634146341464
6,5.0,0.0,18.0,5.0,0.09544008483563096,1.7826086956521738
7,6.0,0.0,15.0,0.0,0.0,2.0
8,7.0,0.0,5.0,0.0,0.0,2.0
9,8.0,0.0,27.0,3.0,0.04736842105263158,1.9
10,9.0,0.0,8.0,0.0,0.0,2.0
11,10.0,0.0,4.0,0.0,0.0,2.0
12,11.0,0.0,11.0,1.0,0.03985507246376812,1.9166666666666667
13,12.0,0.0,5.0,0.0,0.0,2.0
14,13.0,0.0,18.0,0.0,0.0,2.0
15,14.0,0.0,6.0,1.0,0.06593406593406594,1.8571428571428572
16,15.0,0.0,69.0,1.0,0.007091469681397739,1.9857142857142858
17,16.0,0.0,46.0,1.0,0.01052390757263784,1.9787234042553192
18,17.0,0.0,5.0,0.0,0.0,2.0
19,18.0,0.0,30.0,0.0,0.0,2.0
20,19.0,0.0,15.0,4.0,0.09287925696594426,1.7894736842105263
21,20.0,0.0,10.0,0.0,0.0,2.0
22,21.0,0.0,44.0,0.0,0.0,2.0
23,22.0,0.0,33.0,0.0,0.0,2.0
24,23.0,0.0,7.0,0.0,0.0,2.0
25,24.0,0.0,4.0,2.0,0.13333333333333333,1.6666666666666667
26,25.0,0.0,8.0,0.0,0.0,2.0
27,26.0,0.0,21.0,0.0,0.0,2.0
28,27.0,0.0,38.0,1.0,0.012654012654012654,1.9743589743589745
29,28.0,0.0,41.0,1.0,0.011761331038439472,1.9761904761904763
30,29.0,0.0,12.0,0.0,0.0,2.0
31,30.0,0.0,13.0,0.0,0.0,2.0
32,31.0,0.0,42.0,5.0,0.050203203442505374,1.8936170212765957
33,32.0,0.0,6.0,0.0,0.0,2.0
34,33.0,0.0,9.0,0.0,0.0,2.0
35,34.0,0.0,9.0,0.0,0.0,2.0
36,35.0,0.0,6.0,0.0,0.0,2.0
37,36.0,0.0,11.0,3.0,0.09428571428571428,1.7857142857142858
38,37.0,0.0,4.0,0.0,0.0,2.0
39,38.0,0.0,6.0,5.0,0.16042780748663102,1.5454545454545454
40,39.0,0.0,4.0,0.0,0.0,2.0
41,40.0,0.0,34.0,5.0,0.05971197752019671,1.8717948717948718
42,41.0,0.0,7.0,0.0,0.0,2.0
43,42.0,0.0,8.0,0.0,0.0,2.0
44,43.0,0.0,5.0,1.0,0.07575757575757576,1.8333333333333333
45,44.0,0.0,20.0,0.0,0.0,2.0
46,45.0,0.0,5.0,0.0,0.0,2.0
47,46.0,0.0,10.0,0.0,0.0,2.0
48,47.0,0.0,0.0,4.0,0.0,1.0
49,48.0,0.0,2.0,4.0,0.16666666666666666,1.3333333333333333
50,49.0,0.0,0.0,7.0,0.0,1.0
