,cluster,high,mid,low,status_Gini,avg_status
0,0.0,0.0,220.0,8.0,0.01723057644110276,1.9649122807017543
1,1.0,0.0,182.0,0.0,0.0,2.0
2,2.0,0.0,100.0,2.0,0.009706853038245,1.9803921568627452
3,3.0,0.0,103.0,30.0,0.09844526570663947,1.7744360902255638
4,4.0,11.0,223.0,6.0,0.03370274914089347,2.0208333333333335
5,5.0,0.0,91.0,2.0,0.010635811126694716,1.978494623655914
6,6.0,63.0,9.0,0.0,0.03804347826086957,2.875
7,7.0,0.0,141.0,9.0,0.029072164948453612,1.94
8,8.0,0.0,197.0,4.0,0.009850246256156405,1.9800995024875623
9,9.0,0.0,232.0,3.0,0.006341974577429496,1.9872340425531916
10,10.0,0.0,186.0,1.0,0.002666628435434617,1.9946524064171123
11,11.0,3.0,215.0,9.0,0.02590072372561359,1.973568281938326
12,12.0,0.0,58.0,5.0,0.03804276531549259,1.9206349206349207
13,13.0,0.0,105.0,16.0,0.06143494478168654,1.8677685950413223
14,14.0,0.0,146.0,3.0,0.009964736662495735,1.9798657718120805
15,15.0,0.0,71.0,21.0,0.09942651373699653,1.7717391304347827
16,16.0,2.0,146.0,7.0,0.02838709677419355,1.967741935483871
17,17.0,0.0,188.0,1.0,0.002638485397106086,1.9947089947089947
18,18.0,0.0,254.0,7.0,0.013227690361938773,1.9731800766283525
19,19.0,6.0,252.0,0.0,0.011226944667201285,2.0232558139534884
20,20.0,2.0,151.0,6.0,0.02467652125145215,1.9748427672955975
21,21.0,0.0,114.0,40.0,0.11048652839697616,1.7402597402597402
22,22.0,0.0,21.0,7.0,0.10714285714285714,1.75
23,23.0,22.0,132.0,1.0,0.060033135172010525,2.1354838709677417
24,24.0,0.0,26.0,13.0,0.13333333333333333,1.6666666666666667
25,25.0,0.0,198.0,2.0,0.004974874371859297,1.99
26,26.0,0.0,132.0,19.0,0.05869000538225728,1.8741721854304636
27,27.0,0.0,275.0,2.0,0.0035970282007010937,1.9927797833935017
28,28.0,1.0,159.0,4.0,0.015065666041275797,1.9817073170731707
29,29.0,27.0,215.0,3.0,0.052505360120701984,2.0979591836734692
30,30.0,0.0,148.0,0.0,0.0,2.0
31,31.0,0.0,140.0,3.0,0.010378314265240062,1.979020979020979
32,32.0,0.0,92.0,11.0,0.050385860094597966,1.8932038834951457
33,33.0,0.0,140.0,4.0,0.013693270735524257,1.9722222222222223
34,34.0,16.0,218.0,2.0,0.03477017507149334,2.059322033898305
35,35.0,6.0,106.0,0.0,0.024689440993788826,2.0535714285714284
36,36.0,0.0,183.0,7.0,0.01807534923098631,1.9631578947368422
37,37.0,2.0,169.0,13.0,0.0393831445621727,1.940217391304348
38,38.0,1.0,189.0,13.0,0.03340751669125553,1.9408866995073892
39,39.0,0.0,233.0,7.0,0.014367512332628613,1.9708333333333334
40,40.0,0.0,146.0,18.0,0.05169158143194336,1.8902439024390243
41,41.0,0.0,159.0,4.0,0.012117517052166292,1.9754601226993864
42,42.0,0.0,78.0,1.0,0.00628880109650891,1.9873417721518987
43,43.0,0.0,114.0,0.0,0.0,2.0
44,44.0,0.0,43.0,12.0,0.09573283858998144,1.7818181818181817
45,45.0,0.0,235.0,6.0,0.012291223543359252,1.9751037344398341
46,46.0,0.0,144.0,8.0,0.025604551920341397,1.9473684210526316
47,47.0,6.0,158.0,3.0,0.025906643685921927,2.0179640718562872
48,48.0,0.0,49.0,15.0,0.1016316371681416,1.765625
49,49.0,0.0,77.0,5.0,0.02952906887559442,1.9390243902439024
50,50.0,0.0,287.0,0.0,0.0,2.0
51,51.0,0.0,180.0,1.0,0.002754778775959964,1.9944751381215469
52,52.0,0.0,214.0,4.0,0.009089364593951748,1.981651376146789
53,53.0,0.0,86.0,5.0,0.026696467374433475,1.945054945054945
54,54.0,0.0,87.0,5.0,0.026414865193101773,1.9456521739130435
55,55.0,25.0,141.0,0.0,0.059481623974891165,2.1506024096385543
56,56.0,0.0,131.0,29.0,0.08159364261168385,1.81875
57,57.0,0.0,99.0,3.0,0.014486391571553996,1.9705882352941178
58,58.0,0.0,263.0,0.0,0.0,2.0
59,59.0,19.0,221.0,4.0,0.042653912590033566,2.0614754098360657
60,60.0,0.0,131.0,5.0,0.01803811412205332,1.963235294117647
61,61.0,0.0,30.0,4.0,0.05514705882352941,1.8823529411764706
62,62.0,0.0,128.0,19.0,0.060160791589363015,1.870748299319728
63,63.0,0.0,177.0,5.0,0.013544950870856163,1.9725274725274726
64,64.0,0.0,43.0,16.0,0.11432369557992687,1.728813559322034
65,65.0,0.0,185.0,5.0,0.012982456140350878,1.9736842105263157
66,66.0,0.0,176.0,11.0,0.028520499108734405,1.9411764705882353
67,67.0,8.0,209.0,6.0,0.030249039077514413,2.008968609865471
68,68.0,0.0,268.0,0.0,0.0,2.0
69,69.0,0.0,173.0,2.0,0.005681444991789819,1.9885714285714287
70,70.0,0.0,154.0,9.0,0.026823556733951343,1.9447852760736197
71,71.0,0.0,126.0,19.0,0.060923781651609624,1.8689655172413793
72,72.0,15.0,173.0,3.0,0.042575809923724985,2.06282722513089
73,73.0,0.0,28.0,0.0,0.0,2.0
74,74.0,0.0,131.0,6.0,0.02140756073646367,1.9562043795620438
75,75.0,0.0,67.0,31.0,0.12844774273345702,1.683673469387755
76,76.0,0.0,56.0,1.0,0.008694302126998912,1.9824561403508771
77,77.0,0.0,103.0,8.0,0.034688894501978616,1.927927927927928
78,78.0,0.0,87.0,4.0,0.02148413384368441,1.956043956043956
79,79.0,2.0,252.0,0.0,0.0038906901343214455,2.0078740157480315
80,80.0,0.0,177.0,23.0,0.053992042440318314,1.885
81,81.0,23.0,132.0,3.0,0.06724683544303797,2.1265822784810124
82,82.0,0.0,57.0,14.0,0.0878080985915493,1.8028169014084507
83,83.0,0.0,208.0,5.0,0.011597693843185795,1.9765258215962442
84,84.0,4.0,190.0,15.0,0.04384985246229265,1.9473684210526316
85,85.0,47.0,53.0,0.0,0.1008502024291498,2.47
86,86.0,0.0,68.0,25.0,0.1135377011954852,1.7311827956989247
87,87.0,1.0,97.0,2.0,0.014824120603015075,1.99
88,88.0,0.0,249.0,0.0,0.0,2.0
89,89.0,19.0,178.0,1.0,0.04389303664665984,2.090909090909091
90,90.0,0.0,59.0,11.0,0.07187153931339979,1.8428571428571427
91,91.0,0.0,106.0,11.0,0.04468973975700434,1.9059829059829059
92,92.0,0.0,155.0,1.0,0.003194822326655124,1.9935897435897436
93,93.0,0.0,150.0,0.0,0.0,2.0
94,94.0,55.0,139.0,0.0,0.08895534197482023,2.283505154639175
95,95.0,0.0,56.0,15.0,0.09315736941333036,1.7887323943661972
96,96.0,0.0,264.0,0.0,0.0,2.0
97,97.0,0.0,148.0,4.0,0.012982456140350878,1.9736842105263157
98,98.0,0.0,253.0,14.0,0.025511380005762026,1.9475655430711611
99,99.0,0.0,79.0,2.0,0.01219135802469136,1.9753086419753085
