,cluster,high,mid,low,status_Gini,avg_status
0,0.0,27.0,2570.0,10.0,0.007012427828933132,2.0065209052550825
1,1.0,134.0,1948.0,59.0,0.041998482687750235,2.0350303596450257
2,2.0,7.0,1333.0,79.0,0.029489262804099105,1.9492600422832982
3,3.0,22.0,1107.0,19.0,0.017513674328938654,2.0026132404181185
4,4.0,63.0,844.0,20.0,0.041268817681242013,2.04638619201726
5,5.0,59.0,845.0,26.0,0.042540997108759485,2.035483870967742
6,6.0,2.0,1062.0,53.0,0.0240410660877104,1.9543419874664278
7,7.0,62.0,628.0,21.0,0.05261331310631776,2.057665260196906
8,8.0,3.0,666.0,22.0,0.01781844552059654,1.9725036179450073
9,9.0,6.0,828.0,6.0,0.0070918367346938785,2.0
10,10.0,0.0,761.0,63.0,0.036708676610211016,1.9235436893203883
11,11.0,0.0,405.0,116.0,0.0973787739975044,1.7773512476007678
12,12.0,1.0,652.0,57.0,0.03916608153318739,1.9211267605633804
13,13.0,0.0,350.0,52.0,0.06020429766063301,1.8706467661691542
14,14.0,0.0,206.0,11.0,0.024686516107243633,1.9493087557603688
15,15.0,0.0,185.0,55.0,0.09975490196078432,1.7708333333333333
16,16.0,0.0,71.0,26.0,0.1132793323514973,1.731958762886598
17,17.0,0.0,58.0,18.0,0.10251374705420267,1.763157894736842
18,18.0,0.0,68.0,1.0,0.007193483550195706,1.9855072463768115
